	% 10/3/2018	
	% 10:14 AM
	% SAMPLE B mass: 114.400 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	410.903	93.188	28.944	29.145
	411.997	93.379	28.952	29.148
	413.028	93.550	28.963	29.152
	414.054	93.315	28.955	29.117
	415.084	93.349	28.962	29.151
	416.116	93.420	28.967	29.147
	417.148	93.404	28.962	29.165
	418.177	93.166	28.959	29.162
	419.215	93.373	28.965	29.152
	420.245	93.265	28.982	29.169
	421.299	93.497	28.989	29.150
	422.334	93.409	28.994	29.176
	423.364	93.352	28.985	29.166
	424.392	93.308	28.991	29.157
	425.420	93.482	28.984	29.172
	426.451	93.505	28.986	29.160
	427.480	93.408	28.984	29.181
	428.510	93.441	29.001	29.178
	429.536	93.418	29.006	29.181
	430.560	93.504	29.006	29.176
	431.586	93.468	29.018	29.196
	432.614	93.557	29.013	29.192
	433.652	93.431	29.029	29.202
	434.680	93.458	29.015	29.183
	435.714	93.538	29.029	29.188
	436.745	93.554	29.024	29.189
	437.778	93.494	29.017	29.173
	438.806	93.362	29.037	29.191
	439.839	93.464	29.024	29.202
	440.870	93.445	29.052	29.196
	441.904	93.472	29.027	29.183
	442.933	93.433	29.048	29.200
	443.964	93.282	29.064	29.203
	444.994	93.562	29.041	29.222
	446.027	93.566	29.036	29.224
	447.057	93.484	29.023	29.207
	448.089	93.538	29.057	29.208
	449.122	93.382	29.054	29.217
	450.154	93.498	29.041	29.218
	451.184	93.442	29.043	29.229
	452.215	93.434	29.066	29.236
	453.246	93.505	29.056	29.257
	454.282	93.400	29.053	29.214
	455.317	93.657	29.074	29.216
	456.349	93.524	29.068	29.223
	457.380	93.333	29.059	29.233
	458.406	93.508	29.055	29.226
	459.437	93.491	29.082	29.213
	460.465	93.445	29.079	29.228
	461.490	93.336	29.053	29.205
	462.516	93.448	29.064	29.216
	463.545	93.462	29.084	29.237
	464.579	93.409	29.077	29.218
	465.617	93.477	29.069	29.227
	466.656	93.734	29.095	29.234
	467.685	93.458	29.084	29.219
	468.717	93.475	29.092	29.231
	469.748	93.422	29.093	29.206
	470.776	93.353	29.081	29.232
	471.804	93.394	29.094	29.224
	472.831	93.470	29.079	29.227
	473.867	93.615	29.098	29.236
	474.905	93.354	29.107	29.248
	475.934	93.330	29.085	29.231
	476.974	93.374	29.093	29.231
	478.022	93.503	29.097	29.249
	479.071	93.478	29.095	29.254
	480.102	93.413	29.091	29.238
	481.137	93.370	29.112	29.217
	482.172	93.456	29.086	29.248
	483.205	93.390	29.104	29.227
	484.234	93.288	29.110	29.234
	485.266	93.596	29.105	29.216
	486.295	93.397	29.109	29.235
	487.327	93.357	29.118	29.223
	488.357	93.390	29.109	29.248
	489.389	93.077	29.092	29.235
	490.423	93.560	29.094	29.244
	491.458	93.406	29.084	29.235
	492.484	93.409	29.089	29.219
	493.544	93.356	29.112	29.235
	494.572	93.425	29.102	29.248
	495.599	93.435	29.105	29.247
	496.627	93.391	29.091	29.227
	497.660	93.359	29.094	29.255
	498.686	93.372	29.120	29.239
	499.719	93.358	29.096	29.243
	500.750	93.261	29.091	29.233
	501.777	93.483	29.116	29.231
	502.808	93.428	29.109	29.235
	503.841	93.350	29.126	29.240
	504.870	93.386	29.105	29.239
	505.901	93.298	29.099	29.240
	506.929	93.399	29.095	29.220
	507.957	93.194	29.087	29.248
	508.986	93.136	29.135	29.234
	510.025	93.366	29.098	29.229
	511.051	93.440	29.101	29.239
	512.085	93.558	29.104	29.247
	513.115	93.471	29.106	29.265
	514.146	93.411	29.115	29.257
	515.186	93.430	29.106	29.235
	516.226	93.358	29.109	29.229
	517.254	93.344	29.111	29.244
	518.278	93.542	29.108	29.229
	519.313	93.552	29.130	29.228
	520.351	93.476	29.108	29.231
	521.388	93.368	29.108	29.255
	522.449	93.445	29.118	29.226
	523.481	93.399	29.105	29.229
	524.514	93.490	29.109	29.228
	525.542	93.341	29.111	29.220
	526.571	93.427	29.108	29.240
	527.603	93.516	29.096	29.231
	528.631	93.356	29.098	29.227
	529.669	93.343	29.093	29.226
	530.715	93.580	29.099	29.242
	531.745	93.450	29.118	29.241
