%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83053.839,302.083,344.810,134.867,0.006,-0.019,5.000
83049.808,302.086,344.889,134.867,0.022,-0.009,5.000
83053.839,302.085,344.731,134.707,0.022,-0.019,5.000
83053.839,302.086,344.889,135.027,0.006,-0.009,5.000
83053.839,302.088,344.889,135.187,0.006,0.002,5.000
83053.839,302.088,344.889,135.187,0.006,0.013,5.000
83057.870,302.088,344.968,135.507,0.006,-0.009,5.000
83057.870,302.085,344.889,135.347,-0.011,-0.009,5.000
83061.902,302.083,344.810,135.027,-0.011,0.013,5.000
83061.902,302.086,344.889,135.187,-0.011,0.002,5.000
83057.870,302.086,344.810,135.187,-0.043,-0.019,5.000
83061.902,302.086,344.810,135.187,0.006,-0.009,5.000
83061.902,302.086,344.889,135.027,0.006,0.013,5.000
83057.870,302.086,344.889,135.027,0.022,-0.009,5.000
83057.870,302.086,344.810,134.867,0.038,-0.009,5.000
83061.902,302.086,344.889,134.867,0.006,0.013,5.000
83057.870,302.085,344.968,134.867,-0.011,-0.019,5.000
83057.870,302.085,345.047,134.867,0.006,0.013,5.000
83061.902,302.088,344.889,134.707,-0.011,-0.009,5.000
83061.902,302.089,345.047,134.707,0.006,0.002,5.000
83061.902,302.088,345.205,134.226,-0.011,-0.009,5.000
83061.902,302.086,344.889,134.226,-0.027,0.002,5.000
83061.902,302.088,345.205,134.387,0.022,0.002,5.000
83061.902,302.086,345.126,134.387,-0.011,-0.009,5.000
83061.902,302.089,345.205,133.746,0.038,-0.009,5.000
83057.870,302.088,345.205,133.906,0.006,-0.019,5.000
83057.870,302.086,345.284,133.586,0.006,0.002,5.000
83057.870,302.086,345.363,133.586,0.022,-0.009,5.000
83065.933,302.088,345.363,133.426,-0.027,0.002,5.000
83065.933,302.088,345.442,133.426,-0.011,-0.009,5.000
83061.902,302.088,345.442,133.106,0.006,-0.019,5.000
83061.902,302.088,345.442,132.946,0.006,-0.009,5.000
83061.902,302.086,345.600,132.786,-0.011,0.013,5.000
83061.902,302.089,345.600,132.786,0.038,-0.030,5.000
83057.870,302.088,345.679,132.626,0.006,0.002,5.000
83053.839,302.089,345.521,132.465,0.022,-0.009,5.000
83057.870,302.086,345.679,132.305,0.006,0.013,5.000
83053.839,302.089,345.758,132.305,0.022,0.002,5.000
83057.870,302.088,345.837,132.305,0.006,0.002,5.000
83057.870,302.088,345.995,132.305,0.006,0.002,5.000
83065.933,302.089,345.916,132.305,0.006,0.013,5.000
83065.933,302.094,345.995,131.985,-0.011,0.002,5.000
83053.839,302.091,346.074,131.985,0.022,0.002,5.000
83069.965,302.088,345.916,131.985,0.022,-0.019,5.000
83057.870,302.089,346.074,132.145,0.006,0.002,5.000
83053.839,302.093,346.153,132.145,0.022,-0.019,5.000
83065.933,302.089,346.153,131.665,-0.011,-0.019,5.000
83053.839,302.091,346.074,131.825,0.006,0.013,5.000
83061.902,302.091,346.153,132.145,0.006,-0.009,5.000
83057.870,302.091,346.232,132.145,-0.011,-0.009,5.000
83065.933,302.089,346.232,131.985,0.006,-0.009,5.000
